escenario,cindex_train,cindex_test,auc1_train,auc1_test,auc2_train,auc2_test,mtry,min_node,num_trees,mu,gamma,stepno,penalty,dropout,lr,weight_decay,batch_size,lambda,modelo,escenario_n,seleccion,sufijo,integracion,exp_id
coxboost_escenario3,0.7642331123352051,0.6833060383796692,0.8459383578913894,0.6871398895548008,0.8374528927866548,0.7615351011818364,NA,NA,NA,NA,NA,125,100,NA,NA,NA,NA,NA,coxboost,3,NA,NA,NA,EXP4
coxboost_escenario4_gseab,0.8211654424667358,0.6252045631408691,0.9269138222692659,0.5787702899598836,0.8845018275707646,0.6362450650500887,NA,NA,NA,NA,NA,87,100,NA,NA,NA,NA,NA,coxboost,4,gsea,b,Dos_etapas,EXP5
coxboost_escenario5_gseab,0.8693904876708984,0.6211129426956177,0.95836455190918,0.6174947911558161,0.9094937874148092,0.6623328271681808,NA,NA,NA,NA,NA,87,25.75,NA,NA,NA,NA,NA,coxboost,5,gsea,b,Dos_etapas,EXP9
deepsurv_escenario1,0.5666443109512329,0.5671030879020691,0.7079611888447835,0.49244891713236855,0.5684428092461505,0.5347633354331957,NA,NA,NA,NA,NA,NA,NA,0.35,0.005000000000000002,1.0000000000000009e-4,16,NA,deepsurv,1,NA,NA,NA,EXP1
deepsurv_escenario2_gseab,0.6158740520477295,0.6227495670318604,0.7528656194854061,0.7194236397590632,0.6797810409712085,0.5971593478089383,NA,NA,NA,NA,NA,NA,NA,0.275,7.071067811865483e-4,0.0010000000000000002,16,NA,deepsurv,2,gsea,b,NA,EXP2
deepsurv_escenario3,0.7006028294563293,0.6309328675270081,0.8558172038216693,0.6049907889542161,0.7547376835374715,0.6649995140057612,NA,NA,NA,NA,NA,NA,NA,0.35,0.001880301546543199,0.0010000000000000002,14,NA,deepsurv,3,NA,NA,NA,EXP4
deepsurv_escenario4_gseab,0.7009376883506775,0.6391162276268005,0.8045180614041663,0.5763773253598586,0.7681939311668717,0.6738561257508369,NA,NA,NA,NA,NA,NA,NA,0.2,7.071067811865483e-4,0.0010000000000000002,16,NA,deepsurv,4,gsea,b,Dos_etapas,EXP5
deepsurv_escenario5_gseab,0.5452109575271606,0.6350245475769043,0.6381417559958961,0.6438722698433815,0.596021236497111,0.6830934707809111,NA,NA,NA,NA,NA,NA,NA,0.5,0.001880301546543199,1.0000000000000009e-4,8,NA,deepsurv,5,gsea,b,Dos_etapas,EXP9
cox_escenario1,0.5,0.5,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.250075,cox,1,NA,NA,NA,EXP1
cox_escenario2_gseab,0.7722706198692322,0.6685761213302612,0.9164214840775512,0.662851143097542,0.8356964849365912,0.68955435632693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-4,cox,2,gsea,b,NA,EXP2
cox_escenario3,0.7635632753372192,0.6841244101524353,0.8446855976134436,0.6871223149472814,0.8347570641493454,0.7630716034929358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-4,cox,3,NA,NA,NA,EXP4
